Time,Channel A
(s),(mV)

10.41800049,-169.01150000
10.41900049,-174.38890000
10.42000049,-174.38890000
10.42100049,-169.01150000
10.42200050,-170.80600000
10.42300050,-170.80600000
10.42400050,-170.80600000
10.42500050,-169.01150000
10.42600050,-172.60050000
10.42700050,-170.80600000
10.42800050,-170.80600000
10.42900050,-170.80600000
10.43000050,-170.80600000
10.43100050,-170.80600000
10.43200050,-170.80600000
10.43300050,-169.01150000
10.43400050,-174.38890000
10.43500050,-169.01150000
10.43600050,-169.01150000
10.43700050,-170.80600000
10.43800050,-170.80600000
10.43900050,-170.80600000
10.44000050,-169.01150000
10.44100050,-174.38890000
10.44200050,-170.80600000
10.44300050,-170.80600000
10.44400050,-170.80600000
10.44500050,-172.60050000
10.44600050,-170.80600000
10.44700050,-169.01150000
10.44800050,-169.01150000
10.44900050,-172.60050000
10.45000050,-172.60050000
10.45100050,-170.80600000
10.45200050,-170.80600000
10.45300050,-172.60050000
10.45400050,-172.60050000
10.45500050,-170.80600000
10.45600050,-170.80600000
10.45700050,-172.60050000
10.45800050,-174.38890000
10.45900050,-172.60050000
10.46000050,-170.80600000
10.46100050,-169.01150000
10.46200050,-172.60050000
10.46300050,-172.60050000
10.46400050,-170.80600000
10.46500050,-170.80600000
10.46600050,-172.60050000
10.46700050,-170.80600000
10.46800050,-172.60050000
10.46900050,-170.80600000
10.47000050,-170.80600000
10.47100050,-172.60050000
10.47200050,-170.80600000
10.47300050,-167.22310000
10.47400050,-172.60050000
10.47500050,-170.80600000
10.47600050,-172.60050000
10.47700050,-172.60050000
10.47800050,-170.80600000
10.47900050,-170.80600000
10.48000050,-170.80600000
10.48100050,-172.60050000
10.48200050,-170.80600000
10.48300050,-170.80600000
10.48400050,-172.60050000
10.48500050,-170.80600000
10.48600050,-169.01150000
10.48700050,-170.80600000
10.48800050,-172.60050000
10.48900050,-169.01150000
10.49000050,-170.80600000
10.49100050,-170.80600000
10.49200050,-172.60050000
10.49300050,-170.80600000
10.49400050,-170.80600000
10.49500050,-169.01150000
10.49600050,-172.60050000
10.49700050,-172.60050000
10.49800050,-172.60050000
10.49900050,-170.80600000
10.50000050,-172.60050000
10.50100050,-170.80600000
10.50200050,-172.60050000
10.50300050,-170.80600000
10.50400050,-170.80600000
10.50500050,-170.80600000
10.50600050,-169.01150000
10.50700050,-172.60050000
10.50800050,-170.80600000
10.50900050,-170.80600000
10.51000050,-172.60050000
10.51100050,-170.80600000
10.51200050,-169.01150000
10.51300050,-170.80600000
10.51400050,-172.60050000
10.51500050,-170.80600000
10.51600050,-170.80600000
10.51700050,-170.80600000
10.51800050,-172.60050000
10.51900050,-172.60050000
10.52000050,-169.01150000
10.52100050,-170.80600000
10.52200050,-172.60050000
10.52300050,-170.80600000
10.52400050,-169.01150000
10.52500050,-169.01150000
10.52600050,-170.80600000
10.52700050,-167.22310000
10.52800050,-169.01150000
10.52900050,-172.60050000
10.53000050,-169.01150000
10.53100050,-170.80600000
10.53200050,-170.80600000
10.53300050,-170.80600000
10.53400050,-170.80600000
10.53500050,-172.60050000
10.53600050,-169.01150000
10.53700050,-172.60050000
10.53800050,-172.60050000
10.53900050,-172.60050000
10.54000050,-174.38890000
10.54100050,-170.80600000
10.54200050,-170.80600000
10.54300050,-170.80600000
10.54400050,-172.60050000
10.54500050,-170.80600000
10.54600050,-170.80600000
10.54700050,-170.80600000
10.54800050,-172.60050000
10.54900050,-169.01150000
10.55000050,-172.60050000
10.55100050,-170.80600000
10.55200050,-174.38890000
10.55300050,-172.60050000
10.55400050,-172.60050000
10.55500050,-169.01150000
10.55600050,-174.38890000
10.55700050,-172.60050000
10.55800050,-169.01150000
10.55900050,-170.80600000
10.56000050,-172.60050000
10.56100050,-170.80600000
10.56200050,-169.01150000
10.56300050,-169.01150000
10.56400050,-174.38890000
10.56500050,-170.80600000
10.56600050,-169.01150000
10.56700050,-172.60050000
10.56800050,-172.60050000
10.56900050,-174.38890000
10.57000050,-170.80600000
10.57100050,-169.01150000
10.57200050,-170.80600000
10.57300050,-174.38890000
10.57400050,-169.01150000
10.57500050,-170.80600000
10.57600050,-170.80600000
10.57700050,-170.80600000
10.57800050,-170.80600000
10.57900050,-170.80600000
10.58000050,-169.01150000
10.58100050,-170.80600000
10.58200050,-172.60050000
10.58300050,-170.80600000
10.58400050,-169.01150000
10.58500050,-170.80600000
10.58600050,-172.60050000
10.58700050,-169.01150000
10.58800050,-172.60050000
10.58900050,-169.01150000
10.59000050,-172.60050000
10.59100050,-169.01150000
10.59200050,-170.80600000
10.59300050,-172.60050000
10.59400050,-172.60050000
10.59500050,-174.38890000
10.59600050,-169.01150000
10.59700050,-170.80600000
10.59800050,-172.60050000
10.59900050,-172.60050000
10.60000050,-170.80600000
10.60100050,-170.80600000
10.60200050,-169.01150000
10.60300050,-170.80600000
10.60400050,-169.01150000
10.60500050,-170.80600000
10.60600050,-174.38890000
10.60700050,-172.60050000
10.60800050,-172.60050000
10.60900050,-169.01150000
10.61000050,-170.80600000
10.61100050,-170.80600000
10.61200050,-170.80600000
10.61300050,-169.01150000
10.61400050,-172.60050000
10.61500050,-170.80600000
10.61600050,-170.80600000
10.61700050,-170.80600000
10.61800050,-170.80600000
10.61900050,-170.80600000
10.62000050,-172.60050000
10.62100050,-170.80600000
10.62200050,-169.01150000
10.62300050,-172.60050000
10.62400050,-172.60050000
10.62500050,-172.60050000
10.62600050,-170.80600000
10.62700050,-174.38890000
10.62800050,-174.38890000
10.62900050,-170.80600000
10.63000050,-170.80600000
10.63100050,-172.60050000
10.63200050,-170.80600000
10.63300051,-170.80600000
10.63400051,-169.01150000
10.63500051,-172.60050000
10.63600051,-172.60050000
10.63700051,-170.80600000
10.63800051,-170.80600000
10.63900051,-176.18330000
10.64000051,-172.60050000
10.64100051,-170.80600000
10.64200051,-170.80600000
10.64300051,-169.01150000
10.64400051,-170.80600000
10.64500051,-170.80600000
10.64600051,-174.38890000
10.64700051,-174.38890000
10.64800051,-170.80600000
10.64900051,-169.01150000
10.65000051,-169.01150000
10.65100051,-172.60050000
10.65200051,-170.80600000
10.65300051,-169.01150000
10.65400051,-170.80600000
10.65500051,-172.60050000
10.65600051,-170.80600000
10.65700051,-170.80600000
10.65800051,-169.01150000
10.65900051,-169.01150000
10.66000051,-167.22310000
10.66100051,-170.80600000
10.66200051,-169.01150000
10.66300051,-176.18330000
10.66400051,-172.60050000
10.66500051,-170.80600000
10.66600051,-172.60050000
10.66700051,-174.38890000
10.66800051,-170.80600000
10.66900051,-170.80600000
10.67000051,-172.60050000
10.67100051,-170.80600000
10.67200051,-172.60050000
10.67300051,-170.80600000
10.67400051,-170.80600000
10.67500051,-170.80600000
10.67600051,-169.01150000
10.67700051,-169.01150000
10.67800051,-172.60050000
10.67900051,-170.80600000
10.68000051,-170.80600000
10.68100051,-169.01150000
10.68200051,-170.80600000
10.68300051,-170.80600000
10.68400051,-169.01150000
10.68500051,-174.38890000
10.68600051,-170.80600000
10.68700051,-169.01150000
10.68800051,-172.60050000
10.68900051,-172.60050000
10.69000051,-170.80600000
10.69100051,-170.80600000
10.69200051,-174.38890000
10.69300051,-169.01150000
10.69400051,-170.80600000
10.69500051,-169.01150000
10.69600051,-172.60050000
10.69700051,-169.01150000
10.69800051,-169.01150000
10.69900051,-172.60050000
10.70000051,-169.01150000
10.70100051,-172.60050000
10.70200051,-172.60050000
10.70300051,-170.80600000
10.70400051,-169.01150000
10.70500051,-172.60050000
10.70600051,-170.80600000
10.70700051,-169.01150000
10.70800051,-170.80600000
10.70900051,-170.80600000
10.71000051,-172.60050000
10.71100051,-169.01150000
10.71200051,-165.42860000
10.71300051,-170.80600000
10.71400051,-170.80600000
10.71500051,-169.01150000
10.71600051,-170.80600000
10.71700051,-172.60050000
10.71800051,-172.60050000
10.71900051,-170.80600000
10.72000051,-169.01150000
10.72100051,-174.38890000
10.72200051,-172.60050000
10.72300051,-170.80600000
10.72400051,-170.80600000
10.72500051,-172.60050000
10.72600051,-169.01150000
10.72700051,-170.80600000
10.72800051,-170.80600000
10.72900051,-172.60050000
10.73000051,-170.80600000
10.73100051,-170.80600000
10.73200051,-174.38890000
10.73300051,-174.38890000
10.73400051,-172.60050000
10.73500051,-170.80600000
10.73600051,-172.60050000
10.73700051,-172.60050000
10.73800051,-170.80600000
10.73900051,-169.01150000
