Time,V_T
41.42800197,0.4531998
41.42900197,-1.358074
41.43000197,0.9048738
41.43100197,0.00152593
41.43200197,-0.4516739
41.43300197,0.4531998
41.43400197,0.9048738
41.43500197,0.00152593
41.43600197,-0.4516739
41.43700197,0.4531998
41.43800197,-0.4516739
41.43900197,0.9048738
41.44000197,0.4531998
41.44100197,-0.4516739
41.44200197,0.4531998
41.44300197,0.9048738
41.44400197,0.00152593
41.44500197,0.9048738
41.44600197,0.4531998
41.44700197,0.4531998
41.44800197,0.00152593
41.44900197,-0.4516739
41.45000197,0.00152593
41.45100197,0.4531998
41.45200197,0.4531998
41.45300197,0.4531998
41.45400197,-0.4516739
41.45500197,0.9048738
41.45600197,0.9048738
41.45700197,-1.358074
41.45800197,-0.4516739
41.45900197,1.358074
41.46000197,-0.4516739
41.46100197,0.4531998
41.46200197,0.00152593
41.46300197,-0.4516739
41.46400197,0.00152593
41.46500197,0.4531998
41.46600197,0.00152593
41.46700197,-0.4516739
41.46800197,0.4531998
41.46900197,0.4531998
41.47000197,-0.4516739
41.47100197,-0.4516739
41.47200197,0.4531998
41.47300197,0.00152593
41.47400197,0.4531998
41.47500197,0.00152593
41.47600197,0.4531998
41.47700197,-0.4516739
41.47800197,0.4531998
41.47900197,0.4531998
41.48000197,0.9048738
41.48100197,-0.4516739
41.48200197,-0.4516739
41.48300197,1.358074
41.48400197,0.4531998
41.48500197,0.9048738
41.48600197,0.00152593
41.48700197,-0.9048738
41.48800197,0.4531998
41.48900197,1.358074
41.49000197,-0.4516739
41.49100197,0.00152593
41.49200197,0.9048738
41.49300197,-0.4516739
41.49400197,0.9048738
41.49500197,0.9048738
41.49600197,0.00152593
41.49700197,0.9048738
41.49800197,0.4531998
41.49900197,0.9048738
41.50000197,2.264473
41.50100197,0.00152593
41.50200197,-0.4516739
41.50300197,0.9048738
41.50400197,0.00152593
41.50500197,0.00152593
41.50600197,0.4531998
41.50700197,-0.4516739
41.50800197,0.4531998
41.50900197,0.4531998
41.51000197,-0.9048738
41.51100197,-0.4516739
41.51200197,-0.9048738
41.51300197,0.9048738
41.51400197,0.4531998
41.51500197,0.4531998
41.51600197,0.00152593
41.51700197,-0.4516739
41.51800197,0.00152593
41.51900197,1.811274
41.52000197,-0.4516739
41.52100197,0.4531998
41.52200197,-0.4516739
41.52300197,0.4531998
41.52400197,0.4531998
41.52500197,1.811274
41.52600197,0.4531998
41.52700197,0.9048738
41.52800197,1.358074
41.52900197,-1.358074
41.53000197,-0.4516739
41.53100197,-0.4516739
41.53200197,0.4531998
41.53300197,-0.4516739
41.53400197,0.9048738
41.53500197,0.00152593
41.53600197,-0.4516739
41.53700197,0.9048738
41.53800197,-0.4516739
41.53900197,0.4531998
41.54000197,0.4531998
41.54100197,0.4531998
41.54200197,0.00152593
41.54300197,0.4531998
41.54400197,0.9048738
41.54500197,0.9048738
41.54600197,-1.358074
41.54700197,0.00152593
41.54800197,0.9048738
41.54900197,0.00152593
41.55000197,0.4531998
41.55100197,0.4531998
41.55200197,0.4531998
41.55300197,0.00152593
41.55400197,0.4531998
41.55500197,0.00152593
41.55600197,0.00152593
41.55700197,-0.4516739
41.55800197,0.4531998
41.55900197,-0.9048738
41.56000197,1.358074
41.56100197,0.00152593
41.56200197,-0.9048738
41.56300197,-0.4516739
41.56400197,0.9048738
41.56500197,0.00152593
41.56600197,-0.4516739
41.56700197,0.4531998
41.56800197,0.00152593
41.56900197,-0.4516739
41.57000197,0.4531998
41.57100197,0.4531998
41.57200197,-0.4516739
41.57300197,0.4531998
41.57400197,2.264473
41.57500197,0.4531998
41.57600197,0.4531998
41.57700197,-0.4516739
41.57800197,1.358074
41.57900197,0.9048738
41.58000197,0.4531998
41.58100197,0.00152593
41.58200198,0.4531998
41.58300198,1.358074
41.58400198,0.4531998
41.58500198,0.4531998
41.58600198,0.00152593
41.58700198,0.4531998
41.58800198,-0.4516739
41.58900198,0.9048738
41.59000198,0.00152593
41.59100198,0.00152593
41.59200198,-0.4516739
41.59300198,0.4531998
41.59400198,-0.4516739
41.59500198,0.9048738
41.59600198,-0.9048738
41.59700198,0.00152593
41.59800198,0.4531998
41.59900198,0.00152593
41.60000198,0.4531998
41.60100198,-0.4516739
41.60200198,0.00152593
41.60300198,0.4531998
